Instance;Feature 1;Feature 2;Feature 3;Feature 4;Feature 5 (meaningless but please still use it);Feature 6;Feature 7;Feature 8;Feature 9;Feature 10;Target;Target Class
51;53218;63862;76634;91961;76494;132424;158909;190691;228829;274595;1271123;Very Large Number
52;21180;25416;30499;36599;8026;52703;63244;75893;91072;109286;505892;Very Large Number
53;62457;74948;89938;107926;62830;155413;186496;223795;268554;322265;1491792;Very Large Number
54;52318;62782;75338;90406;82453;130184;156221;187465;224958;269950;1249622;Very Large Number
55;30082;36098;43318;51982;98856;74854;89825;107790;129348;155218;718515;Very Large Number
56;29084;34901;41881;50257;27204;72370;86844;104213;125056;150067;694673;Very Large Number
57;44000;52800;63360;76032;39839;109486;131383;157660;189192;227030;1050943;Very Large Number
58;78575;94290;113148;135778;26350;195521;234625;281550;337860;405432;1876779;Very Large Number
59;16344;19613;23536;28243;49011;40670;48804;58565;70278;84334;390387;Large Number
60;74391;89269;107123;128548;39830;185110;222132;266558;319870;383844;1776845;Very Large Number
61;14607;17528;21034;25241;86609;36347;43616;52339;62807;75368;348887;Large Number
62;87652;105182;126218;151462;34932;218105;261726;314071;376885;452262;2093563;Very Large Number
63;41359;49631;59557;71468;16217;102914;123497;148196;177835;213402;987859;Very Large Number
64;70967;85160;102192;122630;12187;176587;211904;254285;305142;366170;1695037;Very Large Number
65;52553;63064;75677;90812;42451;130769;156923;188308;225970;271164;1255240;Very Large Number
66;60038;72046;86455;103746;37091;149394;179273;215128;258154;309785;1434019;Very Large Number
67;38795;46554;55865;67038;92486;96535;115842;139010;166812;200174;926625;Very Large Number
68;31432;37718;45262;54314;71736;78212;93854;112625;135150;162180;750747;Very Large Number
69;55540;66648;79978;95974;65945;138203;165844;199013;238816;286579;1326595;Very Large Number
70;43135;51762;62114;74537;80485;107333;128800;154560;185472;222566;1030279;Very Large Number
71;36438;43726;52471;62965;32880;90670;108804;130565;156678;188014;870331;Very Large Number
72;19375;23250;27900;33480;7568;48211;57853;69424;83309;99971;462773;Large Number
73;81581;97897;117476;140971;89552;202998;243598;292318;350782;420938;1948559;Very Large Number
74;64545;77454;92945;111534;36833;160609;192731;231277;277532;333038;1541665;Very Large Number
75;21941;26329;31595;37914;89645;54596;65515;78618;94342;113210;524060;Very Large Number
76;85497;102596;123115;147738;69280;212743;255292;306350;367620;441144;2042095;Very Large Number
77;2971;3565;4278;5134;98779;7393;8872;10646;12775;15330;70964;Large Number
78;55074;66089;79307;95168;29889;137042;164450;197340;236808;284170;1315448;Very Large Number
79;35076;42091;50509;60611;12260;87280;104736;125683;150820;180984;837790;Very Large Number
80;79310;95172;114206;137047;57840;197347;236816;284179;341015;409218;1894310;Very Large Number
81;69660;83592;100310;120372;65920;173335;208002;249602;299522;359426;1663821;Very Large Number
82;1266;1519;1823;2188;51880;3151;3781;4537;5444;6533;30242;Medium Number
83;23230;27876;33451;40141;79231;57803;69364;83237;99884;119861;554847;Very Large Number
84;90952;109142;130970;157164;54345;226316;271579;325895;391074;469289;2172381;Very Large Number
85;68661;82393;98872;118646;90075;170850;205020;246024;295229;354275;1639970;Very Large Number
86;72756;87307;104768;125722;15496;181039;217247;260696;312835;375402;1737772;Very Large Number
87;48924;58709;70451;84541;84015;121739;146087;175304;210365;252438;1168558;Very Large Number
88;3901;4681;5617;6740;70578;9706;11647;13976;16771;20125;93164;Large Number
89;31672;38006;45607;54728;76878;78809;94571;113485;136182;163418;756478;Very Large Number
90;50941;61129;73355;88026;81994;126757;152108;182530;219036;262843;1216725;Very Large Number
91;93197;111836;134203;161044;38298;231904;278285;333942;400730;480876;2226017;Very Large Number
92;60891;73069;87683;105220;4647;151517;181820;218184;261821;314185;1454390;Very Large Number
93;90077;108092;129710;155652;23160;224138;268966;322759;387311;464773;2151478;Very Large Number
94;73922;88706;106447;127736;57946;183940;220728;264874;317849;381419;1765621;Very Large Number
95;17813;21376;25651;30781;22318;44324;53189;63827;76592;91910;425463;Large Number
96;26469;31763;38116;45739;50576;65864;79037;94844;113813;136576;632221;Very Large Number
97;49673;59608;71530;85836;88242;123604;148325;177990;213588;256306;1186460;Very Large Number
98;11854;14225;17070;20484;60129;29497;35396;42475;50970;61164;283135;Large Number
99;53067;63680;76416;91699;72876;132047;158456;190147;228176;273811;1267499;Very Large Number
100;75331;90397;108476;130171;9299;187446;224935;269922;323906;388687;1799271;Very Large Number
101;88876;106651;127981;153577;75570;221150;265380;318456;382147;458576;2122794;Very Large Number
102;34128;40954;49145;58974;94829;84923;101908;122290;146748;176098;815168;Very Large Number
103;50929;61115;73338;88006;89260;126728;152074;182489;218987;262784;1216450;Very Large Number
104;12341;14809;17771;21325;56725;30708;36850;44220;53064;63677;294765;Large Number
105;12299;14759;17711;21253;37278;30605;36726;44071;52885;63462;293771;Large Number
106;71910;86292;103550;124260;91454;178934;214721;257665;309198;371038;1717568;Very Large Number
107;48108;57730;69276;83131;67933;119708;143650;172380;206856;248227;1149066;Very Large Number
108;76294;91553;109864;131837;46846;189845;227814;273377;328052;393662;1822298;Very Large Number
109;32838;39406;47287;56744;20299;81712;98054;117665;141198;169438;784342;Very Large Number
110;50924;61109;73331;87997;46572;126715;152058;182470;218964;262757;1216325;Very Large Number
111;56029;67235;80682;96818;52092;139418;167302;200762;240914;289097;1338257;Very Large Number
112;2763;3316;3979;4775;51384;6876;8251;9901;11881;14257;65999;Large Number
113;18404;22085;26502;31802;14541;45794;54953;65944;79133;94960;439577;Large Number
114;24029;28835;34602;41522;25306;59791;71749;86099;103319;123983;573929;Very Large Number
115;604;725;870;1044;44627;1504;1805;2166;2599;3119;14436;Medium Number
116;90921;109105;130926;157111;22556;226240;271488;325786;390943;469132;2171652;Very Large Number
117;75838;91006;109207;131048;62936;188710;226452;271742;326090;391308;1811401;Very Large Number
118;2438;2926;3511;4213;95399;6067;7280;8736;10483;12580;58234;Large Number
119;21238;25486;30583;36700;31015;52848;63418;76102;91322;109586;507283;Very Large Number
120;49515;59418;71302;85562;67983;123209;147851;177421;212905;255486;1182669;Very Large Number
121;77220;92664;111197;133436;5526;192148;230578;276694;332033;398440;1844410;Very Large Number
122;55687;66824;80189;96227;85079;138566;166279;199535;239442;287330;1330079;Very Large Number
123;47118;56542;67850;81420;1792;117245;140694;168833;202600;243120;1125422;Very Large Number
124;11822;14186;17023;20428;61049;29417;35300;42360;50832;60998;282366;Large Number
125;79104;94925;113910;136692;26703;196836;236203;283444;340133;408160;1889407;Very Large Number
126;19561;23473;28168;33802;74754;48674;58409;70091;84109;100931;467218;Large Number
127;12131;14557;17468;20962;31837;30185;36222;43466;52159;62591;289741;Large Number
128;88464;106157;127388;152866;86338;220127;264152;316982;380378;456454;2112968;Very Large Number
129;39313;47176;56611;67933;32697;97824;117389;140867;169040;202848;939001;Very Large Number
130;48811;58573;70288;84346;66713;121458;145750;174900;209880;251856;1165862;Very Large Number
131;27358;32830;39396;47275;93852;68076;81691;98029;117635;141162;653452;Very Large Number
132;96090;115308;138370;166044;6058;239104;286925;344310;413172;495806;2295129;Very Large Number
133;29950;35940;43128;51754;49267;74526;89431;107317;128780;154536;715362;Very Large Number
134;20592;24710;29652;35582;31197;51238;61486;73783;88540;106248;491831;Large Number
135;73157;87788;105346;126415;54140;182038;218446;262135;314562;377474;1747361;Very Large Number
136;37203;44644;53573;64288;67283;92575;111090;133308;159970;191964;888615;Very Large Number
137;27420;32904;39485;47382;20137;68230;81876;98251;117901;141481;654930;Very Large Number
138;53397;64076;76891;92269;28877;132868;159442;191330;229596;275515;1275384;Very Large Number
139;8071;9685;11622;13946;23582;20082;24098;28918;34702;41642;192766;Large Number
140;58512;70214;84257;101108;30894;145596;174715;209658;251590;301908;1397558;Very Large Number
141;87064;104477;125372;150446;74678;216642;259970;311964;374357;449228;2079520;Very Large Number
142;27336;32803;39364;47237;72584;68021;81625;97950;117540;141048;652924;Very Large Number
143;17587;21104;25325;30390;10944;43762;52514;63017;75620;90744;420063;Large Number
144;61383;73660;88392;106070;90729;152741;183289;219947;263936;316723;1466141;Very Large Number
145;67362;80834;97001;116401;91781;167617;201140;241368;289642;347570;1608935;Very Large Number
146;15577;18692;22430;26916;8027;38759;46511;55813;66976;80371;372045;Large Number
147;84360;101232;121478;145774;60937;209915;251898;302278;362734;435281;2014950;Very Large Number
148;69926;83911;100693;120832;60704;173998;208798;250558;300670;360804;1670190;Very Large Number
149;50380;60456;72547;87056;6269;125360;150432;180518;216622;259946;1203317;Very Large Number
150;40822;48986;58783;70540;60880;101578;121894;146273;175528;210634;975038;Very Large Number
151;96096;115315;138378;166054;47969;239118;286942;344330;413196;495835;2295264;Very Large Number
152;29476;35371;42445;50934;81461;73345;88014;105617;126740;152088;704030;Very Large Number
153;58950;70740;84888;101866;87887;146687;176024;211229;253475;304170;1408029;Very Large Number
154;31098;37318;44782;53738;1366;77383;92860;111432;133718;160462;742791;Very Large Number
155;52735;63282;75938;91126;60603;131221;157465;188958;226750;272100;1259575;Very Large Number
156;46900;56280;67536;81043;47316;116702;140042;168050;201660;241992;1120205;Very Large Number
157;42452;50942;61130;73356;9231;105632;126758;152110;182532;219038;1013950;Very Large Number
158;45621;54745;65694;78833;51304;113520;136224;163469;196163;235396;1089665;Very Large Number
159;5419;6503;7804;9365;87725;13486;16183;19420;23304;27965;129449;Large Number
160;33662;40394;48473;58168;95491;83762;100514;120617;144740;173688;804018;Very Large Number
161;35427;42512;51014;61217;14008;88152;105782;126938;152326;182791;846159;Very Large Number
162;2213;2656;3187;3824;64919;5507;6608;7930;9516;11419;52860;Large Number
163;78959;94751;113701;136441;29132;196475;235770;282924;339509;407411;1885941;Very Large Number
164;17751;21301;25561;30673;58577;44170;53004;63605;76326;91591;423982;Large Number
165;10019;12023;14428;17314;83713;24932;29918;35902;43082;51698;239316;Large Number
166;76301;91561;109873;131848;21880;189862;227834;273401;328081;393697;1822458;Very Large Number
167;60925;73110;87732;105278;27640;151601;181921;218305;261966;314359;1455197;Very Large Number
168;28349;34019;40823;48988;22593;70543;84652;101582;121898;146278;677132;Very Large Number
169;84362;101234;121481;145777;25173;209918;251902;302282;362738;435286;2014980;Very Large Number
170;33017;39620;47544;57053;78282;82157;98588;118306;141967;170360;788612;Very Large Number
171;39688;47626;57151;68581;51250;98756;118507;142208;170650;204780;947947;Very Large Number
172;85815;102978;123574;148289;46092;213536;256243;307492;368990;442788;2049705;Very Large Number
173;82547;99056;118867;142640;38062;205402;246482;295778;354934;425921;1971627;Very Large Number
174;60756;72907;87488;104986;67310;151180;181416;217699;261239;313487;1451158;Very Large Number
175;27328;32794;39353;47224;87696;68003;81604;97925;117510;141012;652753;Very Large Number
176;79938;95926;115111;138133;20063;198912;238694;286433;343720;412464;1909331;Very Large Number
177;66211;79453;95344;114413;59282;164755;197706;237247;284696;341635;1581460;Very Large Number
178;52377;62852;75422;90506;83255;130328;156394;187673;225208;270250;1251010;Very Large Number
179;2073;2488;2986;3583;27032;5160;6192;7430;8916;10699;49527;Medium Number
180;93978;112774;135329;162395;19184;233849;280619;336743;404092;484910;2244689;Very Large Number
181;92019;110423;132508;159010;88897;228974;274769;329723;395668;474802;2197896;Very Large Number
182;27674;33209;39851;47821;79109;68862;82634;99161;118993;142792;660997;Very Large Number
183;63719;76463;91756;110107;56511;158554;190265;228318;273982;328778;1521942;Very Large Number
184;55499;66599;79919;95903;6348;138101;165721;198865;238638;286366;1325611;Very Large Number
185;17722;21266;25519;30623;81410;44098;52918;63502;76202;91442;423292;Large Number
186;14723;17668;21202;25442;83463;36636;43963;52756;63307;75968;351665;Large Number
187;57965;69558;83470;100164;94786;144236;173083;207700;249240;299088;1384504;Very Large Number
188;52047;62456;74947;89936;21147;129508;155410;186492;223790;268548;1243134;Very Large Number
189;1093;1312;1574;1889;87486;2720;3264;3917;4700;5640;26109;Medium Number
190;70461;84553;101464;121757;15505;175330;210396;252475;302970;363564;1682970;Very Large Number
191;49386;59263;71116;85339;35449;122888;147466;176959;212351;254821;1179589;Very Large Number
192;58576;70291;84349;101219;90078;145756;174907;209888;251866;302239;1399091;Very Large Number
193;74368;89242;107090;128508;10128;185052;222062;266474;319769;383723;1776288;Very Large Number
194;35314;42377;50852;61022;3104;87871;105445;126534;151841;182209;843465;Very Large Number
195;85709;102851;123421;148105;67766;213271;255925;307110;368532;442238;2047162;Very Large Number
196;2842;3410;4092;4910;21699;7070;8484;10181;12217;14660;67866;Large Number
197;96985;116382;139658;167590;3398;241330;289596;347515;417018;500422;2316496;Very Large Number
198;96044;115253;138304;165965;15879;238990;286788;344146;412975;495570;2294035;Very Large Number
199;86023;103228;123874;148649;81668;214055;256866;308239;369887;443864;2054685;Very Large Number
200;86004;103205;123846;148615;71717;214006;256807;308168;369802;443762;2054215;Very Large Number
201;69301;83161;99793;119752;71621;172442;206930;248316;297979;357575;1655249;Very Large Number
202;64075;76890;92268;110722;28034;159439;191327;229592;275510;330612;1530435;Very Large Number
203;44485;53382;64058;76870;26155;110693;132832;159398;191278;229534;1062530;Very Large Number
204;97777;117332;140798;168958;54752;243300;291960;350352;420422;504506;2335405;Very Large Number
205;62066;74479;89375;107250;22985;154440;185328;222394;266873;320248;1482453;Very Large Number
206;50415;60498;72598;87118;41335;125450;150540;180648;216778;260134;1204179;Very Large Number
207;96861;116233;139480;167376;17687;241021;289225;347070;416484;499781;2313531;Very Large Number
208;50548;60658;72790;87348;70684;125782;150938;181126;217351;260821;1207362;Very Large Number
209;98678;118414;142097;170516;86009;245543;294652;353582;424298;509158;2356938;Very Large Number
210;84933;101920;122304;146765;60254;211342;253610;304332;365198;438238;2028642;Very Large Number
211;95889;115067;138080;165696;57657;238602;286322;343586;412303;494764;2290309;Very Large Number
212;43602;52322;62786;75343;10418;108494;130193;156232;187478;224974;1041424;Very Large Number
213;11606;13927;16712;20054;69744;28878;34654;41585;49902;59882;277200;Large Number
214;40025;48030;57636;69163;2882;99595;119514;143417;172100;206520;956000;Very Large Number
215;20881;25057;30068;36082;39937;51958;62350;74820;89784;107741;498741;Large Number
216;79083;94900;113880;136656;5414;196784;236141;283369;340043;408052;1888908;Very Large Number
217;39099;46919;56303;67564;65356;97292;116750;140100;168120;201744;933891;Very Large Number
218;40274;48329;57995;69594;81478;100216;120259;144311;173173;207808;961959;Very Large Number
219;53296;63955;76746;92095;35379;132617;159140;190968;229162;274994;1272973;Very Large Number
220;88287;105944;127133;152560;69513;219686;263623;316348;379618;455542;2108741;Very Large Number
221;1005;1206;1447;1736;20583;2500;3000;3600;4320;5184;23998;Medium Number
222;71582;85898;103078;123694;78511;178120;213744;256493;307792;369350;1709751;Very Large Number
223;42449;50939;61127;73352;36930;105626;126751;152101;182521;219025;1013891;Very Large Number
224;27559;33071;39685;47622;19066;68575;82290;98748;118498;142198;658246;Very Large Number
225;684;821;985;1182;89215;1702;2042;2450;2940;3528;16334;Medium Number
226;35417;42500;51000;61200;13658;88128;105754;126905;152286;182743;845933;Very Large Number
227;19909;23891;28669;34403;16381;49541;59449;71339;85607;102728;475536;Large Number
228;54087;64904;77885;93462;57237;134585;161502;193802;232562;279074;1291863;Very Large Number
229;65322;78386;94063;112876;14177;162541;195049;234059;280871;337045;1560212;Very Large Number
230;2913;3496;4195;5034;12410;7249;8699;10439;12527;15032;69584;Large Number
231;24796;29755;35706;42847;50937;61699;74039;88847;106616;127939;592244;Very Large Number
232;20037;24044;28853;34624;67313;49859;59831;71797;86156;103387;478588;Large Number
233;69569;83483;100180;120216;95164;173111;207733;249280;299136;358963;1661671;Very Large Number
234;66714;80057;96068;115282;96093;166006;199207;239048;286858;344230;1593470;Very Large Number
235;84647;101576;121891;146269;60170;210628;252754;303305;363966;436759;2021795;Very Large Number
236;87850;105420;126504;151805;51555;218599;262319;314783;377740;453288;2098308;Very Large Number
237;12846;15415;18498;22198;62647;31966;38359;46031;55237;66284;306834;Large Number
238;30749;36899;44279;53135;11715;76514;91817;110180;132216;158659;734448;Very Large Number
239;37844;45413;54496;65395;84129;94169;113003;135604;162725;195270;903919;Very Large Number
240;49295;59154;70985;85182;12072;122662;147194;176633;211960;254352;1177417;Very Large Number
241;44987;53984;64781;77737;70935;111941;134329;161195;193434;232121;1074509;Very Large Number
242;21899;26279;31535;37842;2120;54492;65390;78468;94162;112994;523061;Very Large Number
243;25404;30485;36582;43898;25232;63214;75857;91028;109234;131081;606783;Very Large Number
244;29421;35305;42366;50839;49071;73208;87850;105420;126504;151805;702718;Very Large Number
245;65182;78218;93862;112634;51553;162193;194632;233558;280270;336324;1556873;Very Large Number
246;9333;11200;13440;16128;79481;23225;27870;33444;40133;48160;222933;Large Number
247;3350;4020;4824;5789;4731;8336;10003;12004;14405;17286;80017;Large Number
248;84060;100872;121046;145255;1608;209167;251000;301200;361440;433728;2007768;Very Large Number
249;21295;25554;30665;36798;92235;52990;63588;76306;91567;109880;508643;Very Large Number
250;24310;29172;35006;42007;35041;60490;72588;87106;104527;125432;580638;Very Large Number
251;60602;72722;87266;104719;92968;150796;180955;217146;260575;312690;1447471;Very Large Number
252;40241;48289;57947;69536;36088;100132;120158;144190;173028;207634;961155;Very Large Number
253;15856;19027;22832;27398;92633;39454;47345;56814;68177;81812;378715;Large Number
254;5570;6684;8021;9625;14192;13860;16632;19958;23950;28740;133040;Large Number
255;79718;95662;114794;137753;97839;198365;238038;285646;342775;411330;1904081;Very Large Number
256;19283;23140;27768;33322;55868;47983;57580;69096;82915;99498;460585;Large Number
257;67884;81461;97753;117304;49531;168918;202702;243242;291890;350268;1621422;Very Large Number
258;16511;19813;23776;28531;14593;41084;49301;59161;70993;85192;394362;Large Number
259;93112;111734;134081;160897;35260;231691;278029;333635;400362;480434;2223975;Very Large Number
260;97841;117409;140891;169069;23966;243460;292152;350582;420698;504838;2336940;Very Large Number
261;82313;98776;118531;142237;26261;204821;245785;294942;353930;424716;1966051;Very Large Number
262;6179;7415;8898;10678;70546;15377;18452;22142;26570;31884;147595;Large Number
263;57908;69490;83388;100066;7331;144095;172914;207497;248996;298795;1383149;Very Large Number
264;42092;50510;60612;72734;24814;104737;125684;150821;180985;217182;1005357;Very Large Number
265;56646;67975;81570;97884;69784;140953;169144;202973;243568;292282;1352995;Very Large Number
266;16951;20341;24409;29291;76708;42179;50615;60738;72886;87463;404873;Large Number
267;43730;52476;62971;75565;79278;108814;130577;156692;188030;225636;1044491;Very Large Number
268;46229;55475;66570;79884;58585;115033;138040;165648;198778;238534;1104191;Very Large Number
269;76669;92003;110404;132485;39099;190778;228934;274721;329665;395598;1831257;Very Large Number
270;20015;24018;28822;34586;89301;49804;59765;71718;86062;103274;478064;Large Number
271;43716;52459;62951;75541;94479;108779;130535;156642;187970;225564;1044157;Very Large Number
272;35715;42858;51430;61716;46190;88871;106645;127974;153569;184283;853061;Very Large Number
273;57664;69197;83036;99643;53063;143486;172183;206620;247944;297533;1377306;Very Large Number
274;74425;89310;107172;128606;78717;185192;222230;266676;320011;384013;1777635;Very Large Number
275;55349;66419;79703;95644;18126;137728;165274;198329;237995;285594;1322035;Very Large Number
276;23575;28290;33948;40738;62422;58663;70396;84475;101370;121644;563099;Very Large Number
277;36300;43560;52272;62726;71810;90325;108390;130068;156082;187298;867021;Very Large Number
278;69052;82862;99434;119321;96469;171822;206186;247423;296908;356290;1649298;Very Large Number
279;37905;45486;54583;65500;2575;94320;113184;135821;162985;195582;905366;Very Large Number
280;24358;29230;35076;42091;44092;60611;72733;87280;104736;125683;581798;Very Large Number
281;48515;58218;69862;83834;97735;120721;144865;173838;208606;250327;1158786;Very Large Number
282;73727;88472;106166;127399;43999;183455;220146;264175;317010;380412;1760962;Very Large Number
283;16666;19999;23999;28799;16915;41471;49765;59718;71662;85994;398073;Large Number
284;88936;106723;128068;153682;38917;221302;265562;318674;382409;458891;2124247;Very Large Number
285;51536;61843;74212;89054;66214;128238;153886;184663;221596;265915;1230943;Very Large Number
286;24610;29532;35438;42526;96843;61237;73484;88181;105817;126980;587805;Very Large Number
287;10160;12192;14630;17556;77479;25280;30336;36403;43684;52421;242662;Large Number
288;58279;69935;83922;100706;75228;145016;174019;208823;250588;300706;1391994;Very Large Number
289;12286;14743;17692;21230;40055;30571;36685;44022;52826;63391;293446;Large Number
290;89285;107142;128570;154284;55323;222169;266603;319924;383909;460691;2132577;Very Large Number
291;49902;59882;71858;86230;93183;124171;149005;178806;214567;257480;1191901;Very Large Number
292;28666;34399;41279;49535;7010;71330;85596;102715;123258;147910;684688;Very Large Number
293;76116;91339;109607;131528;54329;189401;227281;272737;327284;392741;1818034;Very Large Number
294;77216;92659;111191;133429;32976;192138;230566;276679;332015;398418;1844311;Very Large Number
295;39426;47311;56773;68128;35293;98105;117726;141271;169525;203430;941695;Very Large Number
296;37983;45580;54696;65635;42833;94514;113417;136100;163320;195984;907229;Very Large Number
297;86123;103348;124018;148822;94132;214303;257164;308597;370316;444379;2057070;Very Large Number
298;13727;16472;19766;23719;95218;34156;40987;49184;59021;70825;327857;Large Number
299;90744;108893;130672;156806;14197;225800;270960;325152;390182;468218;2167427;Very Large Number
300;22662;27194;32633;39160;4600;56390;67668;81202;97442;116930;541281;Very Large Number
301;99042;118850;142620;171144;29469;246448;295738;354886;425863;511036;2365627;Very Large Number
302;3236;3883;4660;5592;77612;8052;9662;11594;13913;16696;77288;Large Number
303;3818;4582;5498;6598;21258;9502;11402;13682;16418;19702;91202;Large Number
304;83592;100310;120372;144446;84247;208002;249602;299522;359426;431311;1996583;Very Large Number
305;42607;51128;61354;73625;38317;106020;127224;152669;183203;219844;1017674;Very Large Number
306;87909;105491;126589;151907;93590;218746;262495;314994;377993;453592;2099716;Very Large Number
307;82469;98963;118756;142507;95935;205210;246252;295502;354602;425522;1969783;Very Large Number
308;28740;34488;41386;49663;86125;71515;85818;102982;123578;148294;686464;Very Large Number
309;40094;48113;57736;69283;16644;99768;119722;143666;172399;206879;957660;Very Large Number
310;46885;56262;67514;81017;45912;116664;139997;167996;201595;241914;1119844;Very Large Number
311;55711;66853;80224;96269;22512;138628;166354;199625;239550;287460;1330674;Very Large Number
312;51801;62161;74593;89512;32925;128897;154676;185611;222733;267280;1237264;Very Large Number
313;73670;88404;106085;127302;50483;183314;219977;263972;316766;380119;1759609;Very Large Number
314;88300;105960;127152;152582;14056;219718;263662;316394;379673;455608;2109049;Very Large Number
315;13066;15679;18815;22578;50534;32513;39016;46819;56183;67420;312089;Large Number
316;27610;33132;39758;47710;81763;68702;82442;98930;118716;142459;659459;Very Large Number
317;92611;111133;133360;160032;99659;230446;276535;331842;398210;477852;2212021;Very Large Number
318;81037;97244;116693;140032;61318;201646;241975;290370;348444;418133;1935574;Very Large Number
319;28207;33848;40618;48742;1824;70188;84226;101071;121285;145542;673727;Very Large Number
320;68828;82594;99113;118936;68160;171268;205522;246626;295951;355141;1643979;Very Large Number
321;41616;49939;59927;71912;22865;103553;124264;149117;178940;214728;993996;Very Large Number
322;66832;80198;96238;115486;24098;166300;199560;239472;287366;344839;1596291;Very Large Number
323;75793;90952;109142;130970;59262;188597;226316;271579;325895;391074;1810318;Very Large Number
324;900;1080;1296;1555;33867;2239;2687;3224;3869;4643;21493;Medium Number
325;85123;102148;122578;147094;23405;211816;254179;305015;366018;439222;2033193;Very Large Number
326;98754;118505;142206;170647;36596;245731;294877;353852;424622;509546;2358740;Very Large Number
327;78086;93703;112444;134933;74970;194304;233165;279798;335758;402910;1865101;Very Large Number
328;45791;54949;65939;79127;40771;113942;136730;164076;196891;236269;1093714;Very Large Number
